order_id,order_date,ship_date,ship_mode,customer_name,segment,state,country,market,region,product_id,category,sub_category,products,product_features,price,sales,product_cost,quantity,discount,profit,shipping_cost,order_priority,year,days_delayed,gross_margin
AG-2011-2040,2011-01-01,2011-01-06,"Standard Class","Toby Braunhardt",Consumer,Constantine,Algeria,Africa,Africa,OFF-TEN-10000025,"Office Supplies",Storage,"Tenex Lockers",Blue,168.690,408.3,302.160,2,0,106.14,35.46,Medium,2011,5,25.996
IN-2011-47883,2011-01-01,2011-01-08,"Standard Class","Joseph Holt",Consumer,"New South Wales",Australia,APAC,Oceania,OFF-SU-10000618,"Office Supplies",Supplies,"Acme Trimmer","High Speed",30.402,120.366,84.330,3,0.1,36.036,9.72,Medium,2011,7,29.939
HU-2011-1220,2011-01-01,2011-01-05,"Second Class","Annie Thurman",Consumer,Budapest,Hungary,EMEA,EMEA,OFF-TEN-10001585,"Office Supplies",Storage,"Tenex Box","Single Width",8.360,66.12,36.480,4,0,29.64,8.17,High,2011,4,44.828
IT-2011-3647632,2011-01-01,2011-01-05,"Second Class","Eugene Moren","Home Office",Stockholm,Sweden,EU,North,OFF-PA-10001492,"Office Supplies",Paper,"Enermax Note Cards",Premium,10.135,44.86500000000001,70.920,3,0.5,-26.05500000000001,4.82,High,2011,4,-58.074
IN-2011-47883,2011-01-01,2011-01-08,"Standard Class","Joseph Holt",Consumer,"New South Wales",Australia,APAC,Oceania,FUR-FU-10003447,Furniture,Furnishings,"Eldon Light Bulb","Duo Pack",18.034,113.67,75.900,5,0.1,37.77,4.7,Medium,2011,7,33.228
IN-2011-47883,2011-01-01,2011-01-08,"Standard Class","Joseph Holt",Consumer,"New South Wales",Australia,APAC,Oceania,OFF-PA-10001968,"Office Supplies",Paper,"Eaton Computer Printout Paper","8.5 x 11",25.821,55.242,39.900,2,0.1,15.342,1.8,Medium,2011,7,27.772
CA-2011-1510,2011-01-02,2011-01-06,"Standard Class","Magdelene Morse",Consumer,Ontario,Canada,Canada,Canada,TEC-OKI-10002750,Technology,Machines,"Okidata Inkjet",Wireless,290.120,314.22,311.100,1,0,3.12,24.1,Medium,2011,4,0.993
IN-2011-79397,2011-01-03,2011-01-03,"Same Day","Kean Nguyen",Corporate,"New South Wales",Australia,APAC,Oceania,OFF-AP-10000304,"Office Supplies",Appliances,"Hoover Microwave",White,150.782,276.102,165.690,1,0.1,110.412,125.32,Critical,2011,0,39.990
ID-2011-80230,2011-01-03,2011-01-09,"Standard Class","Ken Lonsdale",Consumer,Auckland,"New Zealand",APAC,Oceania,TEC-CO-10004182,Technology,Copiers,"Hewlett Wireless Fax",Laser,121.014,912.456,1231.920,4,0.4,-319.46399999999994,107.1,Low,2011,6,-35.011
IZ-2011-4680,2011-01-03,2011-01-07,"Standard Class","Lindsay Williams",Corporate,Ninawa,Iraq,EMEA,EMEA,FUR-NOV-10002791,Furniture,Chairs,"Novimex Swivel Stool","Set of Two",85.450,666.84,413.520,4,0,253.32,81.26,High,2011,4,37.988
IN-2011-65159,2011-01-03,2011-01-07,"Second Class","Larry Blacks",Consumer,"National Capital",Philippines,APAC,"Southeast Asia",OFF-ST-10003020,"Office Supplies",Storage,"Tenex Lockers",Industrial,78.796,337.6395,460.440,3,0.45,-122.80049999999996,33.75,High,2011,4,-36.370
IN-2011-65159,2011-01-03,2011-01-07,"Second Class","Larry Blacks",Consumer,"National Capital",Philippines,APAC,"Southeast Asia",FUR-TA-10002797,Furniture,Tables,"Chromcraft Round Table","Adjustable Height",189.860,211.1805,281.580,1,0.55,-70.39950000000002,21.32,High,2011,4,-33.336
ES-2011-4869686,2011-01-03,2011-01-07,"Standard Class","Dorothy Dickinson",Consumer,England,"United Kingdom",EU,North,FUR-BO-10000728,Furniture,Bookcases,"Dania Corner Shelving",Traditional,109.510,854.49,564.060,7,0,290.43,12.56,Medium,2011,4,33.989
